YEAR,MONTH,BEGIN_TIME,BEGIN_LAT,BEGIN_LON,STATE,EVENT_TYPE,FLOOD_CAUSE,EVENT_NARRATIVE,temperature_2m_mean,wind_speed_10m_mean,cloud_cover_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,rain_sum,pressure_msl_mean,soil_moisture_0_to_10cm_mean,elevation
2003,5,1830,31.86667,-102.56667,TEXAS,Normal,,,22.433754,26.085098,42.74849,65.037674,19.588312,2.606479,2.606479,1012.64813,0.10547873,936.0
2003,5,2156,31.73333,-102.6,TEXAS,Normal,,,24.66556,25.992304,37.400265,58.13691,19.185816,1.5756836,1.5756836,1011.4341,0.10830618,890.0
2003,5,2240,32.6,-101.63333,TEXAS,Normal,,,29.287642,24.54878,21.213243,31.64708,11.245853,0.0,0.0,1003.92487,0.19613196,819.0
2003,6,2000,28.98333,-97.5,TEXAS,Normal,,,27.878529,10.596532,25.503292,59.753784,19.248264,0.0,0.0,1016.6649,0.28564724,90.0
2003,5,330,29.5,-101.0,TEXAS,Normal,,,29.550648,24.816538,35.855297,41.659836,14.94681,0.0,0.0,1008.44275,0.23822281,327.0
2003,5,1840,32.0,-101.91667,TEXAS,Normal,,,28.462923,27.184338,36.958206,48.483208,17.335865,0.0,0.0,1008.825,0.14762306,831.0
2003,5,2015,32.0,-101.91667,TEXAS,Normal,,,28.462923,27.184338,36.958206,48.483208,17.335865,0.0,0.0,1008.825,0.14762306,831.0
2003,5,2040,32.0,-102.08333,TEXAS,Normal,,,28.566101,27.184338,36.958206,47.542683,17.119326,0.0,0.0,1008.825,0.14762306,849.0
2003,5,2049,34.0,-101.31667,TEXAS,Normal,,,11.353879,13.150121,83.62089,79.400314,8.761906,13.8629675,13.8629675,1025.4662,0.31072792,966.0
2003,5,2249,33.68333,-101.38333,TEXAS,Normal,,,11.074814,13.347113,82.393906,83.28046,9.561778,23.338676,23.338676,1025.147,0.30108026,948.0
2003,5,2142,34.53333,-101.76667,TEXAS,Normal,,,11.356062,13.363488,77.02961,74.010925,7.191971,7.030723,7.030723,1025.3534,0.22226554,1060.0
2003,5,2226,34.53333,-101.76667,TEXAS,Normal,,,11.356062,13.363488,77.02961,74.010925,7.191971,7.030723,7.030723,1025.3534,0.22226554,1060.0
2003,5,2258,33.5,-102.8,TEXAS,Normal,,,10.426147,15.096825,84.245605,82.696915,8.257135,28.286098,28.286098,1024.6697,0.18188903,1150.0
2003,5,2052,31.36667,-100.53333,TEXAS,Normal,,,28.577087,18.411219,32.00261,49.114002,18.0539,0.13142313,0.13142313,1010.41675,0.19113655,576.0
2003,5,2121,31.21667,-99.85,TEXAS,Normal,,,28.171339,15.026111,21.352646,46.11274,15.865923,0.0,0.0,1010.5055,0.27226606,624.0
2003,5,2027,31.45,-100.45,TEXAS,Normal,,,28.555767,17.532312,31.497143,49.04293,18.014318,0.13331912,0.13331912,1010.3268,0.16590679,565.0
2003,5,1820,34.98333,-101.95,TEXAS,Normal,,,16.71614,15.13791,31.167599,66.81918,13.348761,0.0,0.0,1022.45026,0.17504302,1092.0
2003,6,1345,32.73333,-101.95,TEXAS,Normal,,,20.437881,10.681884,23.632648,63.49895,14.157856,0.2444578,0.2444578,1020.93494,0.17001028,911.0
2003,6,1330,31.08333,-102.38333,TEXAS,Normal,,,24.971788,16.589256,73.22594,59.254726,16.870644,2.4791155,2.4791155,1018.0189,0.16587089,698.0
2003,6,1325,30.88333,-102.28333,TEXAS,Normal,,,24.357422,16.920563,74.80603,61.496456,16.891068,2.661638,2.661638,1018.32983,0.17044748,780.0
2003,5,2210,31.73333,-99.95,TEXAS,Normal,,,27.730083,20.959875,39.902283,53.647926,19.452799,0.0,0.0,1011.03595,0.20093812,497.0
2003,8,1750,32.0,-102.08333,TEXAS,Normal,,,29.002224,16.430779,53.121883,35.416233,12.014647,0.0,0.0,1015.2032,0.16406941,849.0
2003,8,1830,35.68333,-102.33333,TEXAS,Normal,,,25.902761,15.3831625,45.26595,40.475155,11.180582,0.0,0.0,1004.46893,0.17537177,1160.0
2003,8,1800,35.68333,-102.33333,TEXAS,Normal,,,25.902761,15.3831625,45.26595,40.475155,11.180582,0.0,0.0,1004.46893,0.17537177,1160.0
2004,3,920,30.58333,-103.36667,TEXAS,Normal,,,19.736734,11.812894,15.486717,18.254547,-5.389805,0.0,0.0,1009.5006,0.112913,1103.0
